,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,114246000000,172384000000,45625000000,82600000000,17710000000,89784000000,86833000000,26934000000,59899000000,0.6898183870187602,597000000,5212000000,27886000000,0.3203851070445568,22074000000,0.2542121082998399,2.66,8299000000,-8879000000,5485000000,-7316000000,-3888000000,26746000000,32231000000,-18833000000,-8394000000,-5485000000
2015,124712000000,176223000000,49858000000,96140000000,9096000000,80083000000,93580000000,33038000000,60542000000,0.646954477452447,781000000,5957000000,28172000000,0.19776661679846122,12193000000,0.13029493481513144,1.49,8177000000,-9882000000,5944000000,-14443000000,-1500000000,23136000000,29080000000,-23001000000,-9080000000,-5944000000
2016,139660000000,193694000000,59357000000,121697000000,2282000000,71997000000,85320000000,32780000000,52540000000,0.6157993436474449,1243000000,6622000000,21292000000,0.2314932020628223,16798000000,0.19688232536333802,2.12,7925000000,-11006000000,8343000000,-15969000000,-2796000000,24982000000,33325000000,-23950000000,-8393000000,-8343000000
2017,159851000000,241086000000,64527000000,168692000000,2648000000,72394000000,89950000000,34261000000,55689000000,0.6191106170094497,2222000000,8778000000,22632000000,0.25735408560311285,21204000000,0.23573096164535853,2.74,7746000000,-11845000000,8129000000,-11788000000,-7922000000,31378000000,39507000000,-46781000000,8408000000,-8129000000
2018,169662000000,258848000000,58488000000,176130000000,13682000000,82718000000,110360000000,38353000000,72007000000,0.652473722363175,2733000000,10261000000,35058000000,0.33050018122508157,16571000000,0.1501540413193186,2.15,7700000000,-12699000000,11632000000,-10721000000,-10060000000,32252000000,43884000000,-6061000000,-33590000000,-11632000000
2019,175552000000,286556000000,69420000000,184226000000,24150000000,102330000000,125843000000,42910000000,82933000000,0.6590195720063889,2686000000,11682000000,42959000000,0.34716273451840785,39240000000,0.3118171054409065,5.11,7673000000,-13811000000,13925000000,-19543000000,-4000000000,38260000000,52185000000,-15773000000,-36887000000,-13925000000
2020,181915000000,301311000000,72310000000,183007000000,34566000000,118304000000,143015000000,46078000000,96937000000,0.6778100199279796,2591000000,12796000000,52959000000,0.3708422193476209,44281000000,0.3096248645247002,5.82,7610000000,-15137000000,15441000000,-22968000000,-5518000000,45234000000,60675000000,-12223000000,-46031000000,-15441000000
