,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,68531000000,231839000000,63448000000,120292000000,87152000000,111547000000,182795000000,112258000000,70537000000,0.3858803577778386,384000000,7946000000,52503000000,0.28722339232473537,39510000000,0.21614376760852322,1.6225,24342288000,-11126000000,9571000000,-44270000000,-1158000000,49900000000,59713000000,-22579000000,-37549000000,-9571000000
2015,89378000000,290345000000,80610000000,170990000000,92284000000,119355000000,233715000000,140089000000,93626000000,0.4005990201741437,733000000,11257000000,71230000000,0.3047729071732666,53394000000,0.22845773698735639,2.32,23013684000,-11561000000,11247000000,-34710000000,-1499000000,69778000000,81266000000,-56274000000,-17716000000,-11247000000
2016,106869000000,321686000000,79006000000,193437000000,96364000000,128249000000,215639000000,131376000000,84263000000,0.3907595564809705,1456000000,10505000000,60024000000,0.27835410106706115,45687000000,0.211867983064288,2.0875,21883280000,-12150000000,12734000000,-29227000000,-2500000000,53497000000,66231000000,-45977000000,-20890000000,-12734000000
2017,128645000000,375319000000,100814000000,241272000000,98330000000,134047000000,229234000000,141048000000,88186000000,0.38469860491899105,2323000000,10157000000,61344000000,0.2676042820872994,48351000000,0.21092420845075338,2.3175,20868968000,-12769000000,12795000000,-32900000000,-3500000000,50803000000,63598000000,-46446000000,-17347000000,-12451000000
2018,131339000000,365725000000,116866000000,258578000000,70400000000,107147000000,265595000000,163756000000,101839000000,0.38343718820007905,3240000000,10903000000,70898000000,0.26694026619477024,59531000000,0.22414202074587247,3.0025,19821508000,-13712000000,13313000000,-72738000000,-6500000000,64121000000,77434000000,16066000000,-87876000000,-13313000000
2019,162819000000,338516000000,105718000000,248028000000,45898000000,90488000000,260174000000,161782000000,98392000000,0.3781776810903472,3576000000,12547000000,63930000000,0.24572017188496928,55256000000,0.21238094505984456,2.9925,18471336000,-14119000000,10495000000,-66897000000,-8805000000,58896000000,69391000000,45896000000,-90976000000,-10495000000
2020,143713000000,323888000000,105392000000,258549000000,14966000000,65339000000,274515000000,169559000000,104956000000,0.38233247727810865,2873000000,11056000000,66288000000,0.24147314354406862,57411000000,0.20913611278072236,3.31,17352119000,-14081000000,7309000000,-72358000000,-12629000000,73365000000,80674000000,-4289000000,-86820000000,-7309000000
