,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,15279000000,40518000000,10749000000,27996000000,23180000000,12522000000,78812000000,51422000000,27390000000,0.3475359082373243,711000000,1757000000,9166000000,0.11630208597675482,5385000000,0.06832715830076638,3.75523,1434000000,-2243000000,1389000000,-8305000000,-1289000000,6239000000,7628000000,-1507000000,-6652000000,-1389000000
2015,15302000000,39946000000,11269000000,30624000000,26995000000,9322000000,83176000000,54787000000,28389000000,0.34131239780705974,830000000,1786000000,10469000000,0.12586563431759162,6345000000,0.07628402423776089,4.71397,1346000000,-2530000000,1442000000,-6748000000,-39000000,6800000000,8242000000,-1271000000,-7071000000,-1442000000
2016,16993000000,42549000000,12526000000,36233000000,30973000000,6316000000,88519000000,58254000000,30265000000,0.3419039980117263,919000000,1690000000,11774000000,0.13301099199042013,7009000000,0.07918074085789492,5.49,1277000000,-3031000000,1503000000,-7000000000,-39000000,7870000000,9373000000,-2982000000,-5787000000,0.0
2017,17724000000,42966000000,14133000000,38633000000,35519000000,4333000000,94595000000,62282000000,32313000000,0.3415931074581109,972000000,1973000000,13427000000,0.1419419631058724,7957000000,0.08411649664358581,6.44814,1234000000,-3404000000,1621000000,-6662000000,-3045000000,8162000000,9783000000,-1583000000,-7870000000,-1621000000
2018,18933000000,44529000000,16194000000,43075000000,39935000000,1454000000,100904000000,66548000000,34356000000,0.3404820423372711,1057000000,2062000000,14681000000,0.1454947276619361,8630000000,0.08552683738999445,7.28885,1184000000,-4212000000,1897000000,-7745000000,-543000000,10134000000,12031000000,-2228000000,-8870000000,-1897000000
2019,18529000000,44003000000,16716000000,45881000000,46423000000,-1878000000,108203000000,71043000000,37160000000,0.34342855558533497,1051000000,2152000000,15530000000,0.14352651959742335,11121000000,0.10277903570141309,9.72966,1143000000,-4704000000,2442000000,-9727000000,-1209000000,10596000000,13038000000,-2416000000,-12420000000,-2442000000
2020,19810000000,51236000000,18375000000,54352000000,51729000000,-3116000000,110225000000,72653000000,37572000000,0.3408664096166931,1201000000,2296000000,15843000000,0.1437332728509866,11242000000,0.10199138126559311,10.24795,1077000000,-5958000000,2678000000,-6685000000,-1070000000,11045000000,13723000000,-2653000000,-10834000000,-2678000000
