,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,13670000000,40184000000,1424000000,4088000000,6099000000,36096000000,12466000000,2153000000,10313000000,0.8272902294240334,23000000,1243000000,4994000000,0.40060965827049577,2940000000,0.2358414888496711,1.12,2614000000,0.0,1831000000,0.0,-243000000,3626000000,5457000000,-5913000000,1571000000,-1831000000
2015,21652000000,49407000000,1925000000,5189000000,9787000000,44218000000,17928000000,2867000000,15061000000,0.8400825524319501,23000000,1945000000,6225000000,0.3472222222222222,3688000000,0.20571173583221777,1.31,2803000000,0.0,2523000000,0.0,-119000000,6076000000,8599000000,-9434000000,1582000000,-2523000000
2016,34401000000,64961000000,2875000000,5767000000,21670000000,59194000000,27638000000,3789000000,23849000000,0.8629061437151747,10000000,2342000000,12427000000,0.4496345611115131,10217000000,0.36967219046240685,3.56,2863000000,0.0,4491000000,0.0,-312000000,11617000000,16108000000,-11739000000,-310000000,-4491000000
2017,48563000000,84524000000,3760000000,10177000000,33990000000,74347000000,40653000000,5454000000,35199000000,0.8658401593978304,6000000.0,3025000000,20203000000,0.4969620938184144,15934000000,0.39195139350109465,5.49,2901000000,0.0,6733000000,-1976000000,0.0,17483000000,24216000000,-20038000000,-5235000000,-6733000000
2018,50480000000,97334000000,7017000000,13207000000,41981000000,84127000000,55838000000,9355000000,46483000000,0.8324617643898421,9000000.0,4315000000,24913000000,0.4461656936136681,22112000000,0.39600272216053584,7.65,2890000000,0.0,13915000000,-12879000000,0.0,15359000000,29274000000,-11603000000,-15572000000,-13915000000
2019,66225000000,133376000000,15053000000,32322000000,55692000000,101054000000,70697000000,12770000000,57927000000,0.8193699874110641,20000000,5741000000,23986000000,0.3392788944368219,18485000000,0.2614679547929898,6.48,2854000000,0.0,15102000000,-4202000000,-552000000,21212000000,36314000000,-19864000000,-7299000000,-15102000000
2020,75670000000,159316000000,14981000000,31026000000,77345000000,128290000000,85965000000,17139000000,68826000000,0.8006281626243239,0.0,6862000000,32671000000,0.3800500203571221,29146000000,0.3390449601582039,10.226666666666667,2847000000,0.0,15115000000,-6272000000,-604000000,23632000000,38747000000,-30059000000,-10292000000,-15115000000
