,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,5018869300000,5125407300000,0.0,4592406600000,175105900000,533000700000,263406600000,0.0,0.0,0.0,229639200000,8518800000,0.0,0.0,79319700000,0.30113026780650143,53.25,1592187793,-15372600000,9728500000,0.0,-51063900000,117422800000,127151300000,-776871400000,794437600000,-9728500000
2015,6150710000000,6259015800000,0.0,5507448200000,228804400000,751567600000,315997800000,0.0,0.0,0.0,264610900000,7124800000,0.0,0.0,99237700000,0.3140455408233855,66.15,1615856387,-19300500000,8913700000,0.0,-49324000000,100443400000,109357100000,-1171640500000,1028946000000,-8913700000
2016,7626100700000,7736723300000,0.0,6865928100000,290542400000,870795200000,389195400000,0.0,0.0,0.0,333067100000,7434500000,0.0,0.0,117915300000,0.30297197757219124,76.35,1676664047,-24367900000,9983400000,0.0,-79391600000,160089800000,170073200000,-1144840900000,1007931000000,-9983400000
2017,8953071300000,9066980500000,0.0,8039079400000,364471900000,1027901100000,462121700000,0.0,0.0,0.0,373758700000,8879900000,0.0,0.0,140529800000,0.30409695108453033,90.0,1698601111,-29280900000,12628500000,0.0,-123074300000,366643700000,379272200000,-1578204100000,1253976600000,-12628500000
2018,11253401800000,11367308800000,0.0,10190815500000,462876200000,1176493300000,567757600000,0.0,0.0,0.0,420314700000,9679900000,0.0,0.0,178514900000,0.31442097824846377,107.284418,1730060178,-34490300000,9181500000,0.0,-225150200000,85092700000,94274200000,-2048325700000,2097014500000,-9181500000
2019,13161947900000,13280073600000,0.0,11644449000000,587235200000,1635624600000,667627800000,0.0,0.0,0.0,534209300000,12248800000,0.0,0.0,220103800000,0.32968039976765495,123.195,1786689353,-41015200000,16355000000,0.0,-224084500000,166917200000,183272200000,-1536982800000,1517501700000,-16355000000
2020,15777866600000,15961889100000,0.0,14065395300000,713340600000,1896493800000,791746400000,0.0,0.0,0.0,618455500000,12800300000,0.0,0.0,260269900000,0.3287288707596271,144.0,1823425000,-66447300000,18294300000,0.0,-315209600000,152885400000,171179700000,-2150488400000,1845786600000,-18294300000
