,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,1693429000,1938875000,355716000,423725000,2330510000,1515150000,2464867000,1125057000,1339810000,0.5435627966945072,0.0,25651000,747505000,0.3032638272166409,483185000,0.19602883238730529,0.963333,501771000,0.0,31363000,-8175000.0,-1619000.0,554204000,585567000,-440403000,19298000,-27952000
2015,3582602000,5675189000,514189000,865779000,1394863000,4809410000,2722564000,1090263000,1632301000,0.5995455019606518,0.0,30860000,732183000,0.26893141905938667,546733000,0.20081548128896143,0.966667,566448000,0.0,42493000,-807967000,-1083000.0,165493000,207986000,400066000,1202348000,-35605000
2016,1432270000,4153471000,470589000,823762000,2107548000,3329709000,3049393000,1107393000,1942000000,0.6368480546784229,0.0,40845000,1085338000,0.3559193583772246,712685000,0.2337137259775962,1.21,587874000,0.0,105337000,-2252437000,-2359000.0,596018000,701355000,-256193000,-2238391000,-99819000
2017,2086377000,4791012000,560351000,895800000,2928226000,3895212000,3369045000,1231355000,2137690000,0.6345091858375296,0.0,48887000,1198787000,0.35582397979249314,820678000,0.2435936593307599,1.45,566782000,0.0,93128000,-361178000,-2583000.0,894603000,987731000,-531541000,-311135000,-83435000
2018,1804170000,4526891000,601145000,915990000,3914645000,3610901000,3807183000,1511808000,2295375000,0.6029064008743472,0.0,56979000,1283619000,0.33715715793015466,993004000,0.26082381645431807,1.78,557166000,0.0,74925000,-1342076000,-1886000.0,1086956000,1161881000,272956000,-1316111000,-61941000
2019,2316309000,5150352000,661097000,979071000,5022480000,4171281000,4200819000,1682234000,2518585000,0.5995461837322674,0.0,64814000,1402939000,0.3339679714836559,1107835000,0.2637188129267174,2.04,542191000,0.0,110398000,-707300000,-13569000,1003364000,1113762000,-326724000,-628506000,-101661000
2020,3140955000,6202716000,749988000,1041856000,6432074000,5160860000,4598638000,1874758000,2723880000,0.5923232052620798,0.0,60973000,1633153000,0.35513841272133184,1409594000,0.30652423608903334,2.5998107677921616,528195000,0.0,67272000,-595918000,-3086000.0,1296891000,1364163000,-472487000,-526068000,-48722000
