,total_current_assets,total_assets,total_current_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,interest_expense,depreciation,operating_income,operating_income_ratio,net_income,net_income_ratio,eps,number_of_shares,dividends,capital_expenditures,stock_repurchased,debt_repayment,free_cash_flow,net_cash_operating,net_cash_investing,net_cash_finance,propery_and_plant_investments
2014,509739000,4763732000,636377000,3249574000,327081000,1514158000,2695390000,1046237000,1649153000,0.6118420710917529,120939000,216321000,179382000,0.06655140814501798,64080000,0.023773925109167874,0.6589151184680643,97250766,-58504000,270734000,-373000.0,-662035000,26568000,297302000,-271691000,-353864000,0.0
2015,414367000,5110085000,712154000,3570018000,352389000,1540067000,2946900000,1150026000,1796874000,0.6097505853608877,106088000,232961000,242157000,0.08217347042654993,103856000,0.03524245817638875,1.067686,97272017,-78608000,333423000,0.0,-664229000,134134000,467557000,-509436000,35286000,0.0
2016,683643000,8641841000,1189190000,6631107000,384401000,2010734000,3235846000,1231668000,2004178000,0.619367547157683,121537000,268243000,266297000,0.08229594362648902,111667000,0.03450936787473817,1.053365,110063488,-79627000,421713000,0.0,-614220000,9942000.0,431655000,-1354650000,918263000,0.0
2017,872400000,9805900000,1409400000,7692700000,-207900000,2113200000,5079200000,1856400000,3222800000,0.6345093715545755,274000000,538600000,208400000,0.041030083477713024,-487200000,-0.09592061742006615,-3.8169484592325813,127641231,-104600000,626800000,-34000000,-748600000,-68100000,558700000,-965200000,492300000,0.0
2018,781300000,9495800000,1328100000,8097800000,-550900000,1398000000,5460800000,1981100000,3479700000,0.6372143275710519,342300000,537800000,310100000,0.05678655142103721,110100000,0.020161881043070613,1e-06,103475253,-258100000,576300000,-445400000,-86200000,-53100000,523200000,-317200000,-194800000,0.0
2019,673100000,13675800000,1933200000,12461600000,-706200000,1214200000,5471000000,1977800000,3493200000,0.6384938768049717,340800000,450000000,235800000,0.04309998172180589,-149100000,-0.02725278742460245,-1.435727,103849861,-84100000,518100000,0.0,-1993600000,60900000,579000000,-516100000,-112900000,0.0
2020,487000000,10276400000,1578500000,13134600000,-5335300000,-2858200000,1242400000,411500000,830900000,0.6687862202189311,356900000,498300000,-1540600000,-1.2400193174500966,-4589400000,-3.693979394719897,-44.19264461028022,400111000,-6500000.0,173800000,0.0,-26200000,-1303300000,-1129500000,-154600000,1330300000,0.0
